# M_red = 0.333
# r   H0R/R  dR/R  d2R/R tot.
6.708204e+00   -6.925207e-03 1.887934e-03   -3.445799e-03 9.534107e-04   -1.145248e-03 7.047775e-04 -1.151625e-02 2.136567e-03
7.615773e+00   -9.777108e-03 2.448984e-03   -3.815002e-03 8.182623e-04   -1.545745e-03 5.317464e-04 -1.513786e-02 2.735500e-03
8.544004e+00   -9.945788e-03 1.529343e-03   -3.924041e-03 8.371523e-04   -1.560951e-03 6.142901e-04 -1.543078e-02 1.752206e-03
9.486833e+00   -8.251738e-03 3.374839e-04   -4.079985e-03 1.044325e-03   -1.388571e-03 8.894304e-04 -1.372029e-02 1.825893e-04
1.044031e+01   -6.729795e-03 2.251505e-03   -4.309677e-03 1.193078e-03   -9.162908e-04 9.959438e-04 -1.195576e-02 2.054371e-03
1.140175e+01   -3.864913e-03 3.427124e-04   -4.444816e-03 7.918645e-04   -6.831465e-04 5.373570e-04 -8.992875e-03 5.972199e-04
1.236932e+01   -2.714821e-03 3.357023e-03   -4.302166e-03 5.072785e-04   -3.769634e-04 3.549508e-05 -7.393951e-03 3.899797e-03
1.334166e+01   -1.213426e-03 1.121678e-03   -3.647171e-03 6.117021e-04   1.002564e-04 2.098955e-05 -4.760341e-03 1.712391e-03
1.431782e+01   4.233003e-04 5.465572e-04   -2.782150e-03 6.720928e-04   4.524313e-04 3.026292e-05 -1.906419e-03 9.527260e-05
1.529706e+01   5.851479e-04 1.274787e-04   -2.201837e-03 1.044634e-03   3.338107e-04 1.427352e-04 -1.282878e-03 1.029377e-03
1.627882e+01   6.631629e-04 1.401361e-03   -1.836854e-03 9.170786e-04   1.905187e-04 8.183816e-05 -9.831721e-04 2.400277e-03
1.726268e+01   2.700972e-03 1.455113e-03   -1.191200e-03 5.499216e-04   -1.542416e-05 9.458185e-05 1.494348e-03 1.910452e-03
1.824829e+01   1.549980e-03 4.130825e-04   -6.238190e-04 3.767062e-04   -1.633945e-04 3.177870e-04 7.627670e-04 1.107576e-03
1.923538e+01   1.117110e-03 5.084075e-04   -4.026689e-04 2.084375e-03   -1.925557e-04 8.129339e-05 5.218854e-04 2.511489e-03
2.022375e+01   2.074741e-03 1.718147e-03   -1.209513e-04 3.608269e-03   -1.571009e-04 1.254232e-04 1.796689e-03 5.200992e-03
2.121320e+01   3.100300e-03 2.549609e-03   6.530926e-04 4.970118e-03   -2.397570e-04 3.451943e-04 3.513636e-03 7.174534e-03
2.220360e+01   3.155349e-03 1.136587e-03   1.511790e-03 6.132750e-03   -5.620625e-04 9.790593e-04 4.105077e-03 6.290277e-03
2.319483e+01   3.519380e-03 4.697482e-04   2.093744e-03 7.084664e-03   -6.737701e-04 1.893389e-03 4.939354e-03 4.721526e-03
2.418677e+01   -8.792106e-05 1.710124e-03   2.360087e-03 7.025176e-03   -1.010338e-03 2.109368e-03 1.261828e-03 3.205684e-03
5.656854e+00   2.986240e-03 4.543399e-03   -1.871207e-03 1.472647e-03   -2.178802e-04 7.226404e-04 8.971527e-04 5.293405e-03
6.403124e+00   -3.947425e-03 3.774399e-03   -2.872749e-03 1.268897e-03   -4.833942e-04 6.402090e-04 -7.303568e-03 4.403087e-03
7.211103e+00   -8.332237e-03 1.687642e-03   -3.487445e-03 8.986601e-04   -1.124681e-03 5.783039e-04 -1.294436e-02 2.007998e-03
8.062258e+00   -9.141377e-03 2.288121e-03   -3.885982e-03 6.620220e-04   -1.398289e-03 4.771520e-04 -1.442565e-02 2.472991e-03
8.944272e+00   -8.353637e-03 1.060563e-03   -3.902160e-03 9.445932e-04   -1.447215e-03 8.520550e-04 -1.370301e-02 1.153101e-03
9.848858e+00   -6.882659e-03 9.829215e-06   -3.841102e-03 1.289004e-03   -1.339899e-03 1.160683e-03 -1.206366e-02 1.184920e-04
1.077033e+01   -6.691223e-03 1.596351e-03   -3.769760e-03 1.505709e-03   -1.351429e-03 1.357942e-03 -1.181241e-02 1.448584e-03
1.170470e+01   -6.028456e-03 1.760854e-03   -3.839882e-03 1.066207e-03   -1.288483e-03 1.100044e-03 -1.115682e-02 1.794691e-03
1.264911e+01   -2.516639e-03 1.477137e-04   -3.903185e-03 7.020259e-04   -7.842024e-04 6.746821e-04 -7.204027e-03 1.203699e-04
1.360147e+01   -1.892553e-03 1.218103e-04   -3.584357e-03 6.181262e-04   -4.232790e-04 4.262959e-04 -5.900189e-03 7.001992e-05
1.456022e+01   -1.994259e-03 1.590769e-03   -3.358665e-03 4.627140e-04   6.055891e-05 2.060226e-04 -5.292366e-03 1.334077e-03
1.552417e+01   -1.389584e-03 1.964865e-04   -2.941461e-03 6.916904e-04   1.634536e-05 1.329096e-04 -4.314700e-03 3.622942e-04
1.649242e+01   5.610861e-04 1.676552e-03   -2.332809e-03 5.381812e-04   9.671739e-05 4.774865e-05 -1.675005e-03 2.262482e-03
1.746425e+01   1.306017e-03 5.734448e-04   -1.397617e-03 1.589330e-04   -9.906343e-05 3.868144e-05 -1.906636e-04 7.710592e-04
1.843909e+01   -8.904280e-04 1.318075e-03   -7.585097e-04 5.318342e-04   -4.051553e-04 4.258631e-05 -2.054093e-03 8.288267e-04
1.941649e+01   -7.033950e-04 9.675206e-04   -1.726839e-04 2.029703e-03   -5.370480e-04 3.310365e-04 -1.413127e-03 7.311454e-04
2.039608e+01   -3.848334e-05 1.442493e-03   1.532142e-04 3.246905e-03   -5.538141e-04 3.686095e-04 -4.390833e-04 1.435803e-03
2.137756e+01   2.735684e-03 2.434916e-05   7.097412e-04 4.190226e-03   -3.689554e-04 3.842745e-04 3.076470e-03 3.830301e-03
2.236068e+01   1.633741e-03 8.346021e-04   1.140641e-03 5.230043e-03   -4.730403e-04 9.267456e-04 2.301342e-03 3.468696e-03
2.334524e+01   -3.483385e-04 2.406747e-04   1.316701e-03 5.999226e-03   -5.058940e-04 1.549423e-03 4.624689e-04 4.209128e-03
